latitude,longitude,crowd_density,lighting,incident_count,hour,risk_level
21.087041,79.135537,1,9,0,20,Safe
21.164424,79.081974,17,8,6,13,Unsafe
21.164448,79.082021,4,10,0,13,Unsafe
21.164473,79.082158,14,5,8,13,Unsafe
21.164498,79.082305,3,7,0,13,Unsafe
21.166118,79.0810195,28,7,6,12,Unsafe
21.1643831,79.0822539,169,8,12,13,Unsafe
21.1643074,79.0822385,14,8,6,13,Moderate
21.1641080,79.0810922,201,9,1,18,Safe
21.1640890,79.0809051,45,9,4,14,Moderate
21.1678170,79.0744836,8,4,5,13,Unsafe
21.1722788,79.0734573,19,9,1,17,Safe
21.1757366,79.0783530,89,9,6,19,Moderate
21.1511726,79.0693817,109,9,7,19,Unsafe
